Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
,,,,,9.02,Metallurgical Engineering,1,,Scrum Master,,,,,,,,,,Project Manager
,,,,,6.44,Environmental Science,1,,,,,,,,,,,,Registered Nurse
,,,,,6.06,Structural Engineering,0,,Google Analytics,,,,,,,,,,Robotics System Architect
,,,,,8.59,Nutrition & Dietetics,0,,Python,,,,,,,,,,Clinical Research Associate
,,,,,8.39,Banking & Insurance,1,,Google Analytics,,,,,,,,,,Financial Auditor
S274,21.0,Female,3.7,1480.0,8.75,Psychology,3,7.0,3,9.0,8.0,3.0,94000.0,8.0,2.0,Mid,6.0,No,
,,,,,7.91,Economics,2,,Photoshop,,,,,,,,,,Psychologist
,,,,,8.36,Data Science,2,,AWS,,,,,,,,,,Data Scientist
,,,,,6.38,Travel & Tourism,1,,Scrum Master,,,,,,,,,,Relationship Manager
,,,,,6.75,Aviation Management,1,,Java,,,,,,,,,,Aviation Operations Manager
,,,,,6.49,Mathematics (M.Sc),2,,,,,,,,,,,,Statistician
,,,,,7.36,Electrical & Electronics Engineering,0,,Photoshop,,,,,,,,,,Control Systems Engineer
,,,,,6.52,Automobile Engineering,1,,Java,,,,,,,,,,Automotive Design Engineer
,,,,,6.48,Artificial Intelligence (Masters),0,,CFA,,,,,,,,,,Robotics System Architect
,,,,,6.48,Statistics (M.Sc),1,,AWS,,,,,,,,,,Statistician
,,,,,6.83,Digital Marketing (Advanced),2,,AutoCAD,,,,,,,,,,HR Director
,,,,,7.38,Hospitality & Tourism (Advanced),1,,React,,,,,,,,,,Portfolio Manager
,,,,,8.24,Microbiology (M.Sc),2,,React,,,,,,,,,,Data Engineer
,,,,,8.37,Agri-Business Management,1,,AWS,,,,,,,,,,Hospital Administrator
,,,,,7.53,Machine Learning,1,,CPA,,,,,,,,,,Senior Data Scientist
,,,,,8.2,Forensic Science (M.Sc),1,,C++,,,,,,,,,,Data Engineer
,,,,,8.64,Graphic Design,0,,CFA,,,,,,,,,,UI/UX Designer
,,,,,6.37,Entrepreneurship,0,,CFA,,,,,,,,,,Sales Manager
,,,,,6.91,Psychology,1,,CFA,,,,,,,,,,Dietician
,,,,,8.22,Nutrition & Dietetics,2,,CPA,,,,,,,,,,Microbiologist
,,,,,6.31,Electrical Engineering,1,,,,,,,,,,,,Maintenance Engineer
,,,,,7.21,Environmental Engineering (Masters),2,,Scrum Master,,,,,,,,,,VLSI Architect
,,,,,9.46,Food Technology,2,,Six Sigma,,,,,,,,,,Robotics Engineer
,,,,,9.56,Data Science (M.Sc),0,,CPA,,,,,,,,,,Senior Researcher
,,,,,8.68,Economics,1,,Google Analytics,,,,,,,,,,Chartered Accountant
,,,,,8.08,International Business,2,,CPA,,,,,,,,,,Financial Auditor
,,,,,7.53,Fashion Design,1,,CFA,,,,,,,,,,Microbiologist
,,,,,8.45,Forensic Science (M.Sc),1,,Java,,,,,,,,,,Data Engineer
,,,,,8.5,Electronics & Communication Engineering,1,,AutoCAD,,,,,,,,,,Embedded Systems Engineer
,,,,,8.93,Fine Arts,0,,CPA,,,,,,,,,,Journalist
,,,,,9.9,Interior Design,2,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,8.83,Communication Design,2,,Python,,,,,,,,,,UI/UX Designer
,,,,,7.34,Economics,0,,CPA,,,,,,,,,,Policy Analyst
,,,,,8.81,Instrumentation Engineering,2,,Photoshop,,,,,,,,,,VLSI Design Engineer
,,,,,6.56,Environmental Science,0,,Photoshop,,,,,,,,,,Dietician
,,,,,7.64,Business Analytics (Advanced),0,,C++,,,,,,,,,,Product Manager
,,,,,8.33,Communication Design,1,,,,,,,,,,,,Product Designer
,,,,,7.06,Agriculture (M.Sc),1,,Python,,,,,,,,,,Clinical Psychologist
,,,,,6.51,Sanskrit,2,,React,,,,,,,,,,Policy Analyst
,,,,,7.7,Computer Science Engineering (Masters),1,,Six Sigma,,,,,,,,,,Senior Data Scientist
,,,,,8.74,Cybersecurity,2,,AWS,,,,,,,,,,AI Engineer
,,,,,6.16,Aeronautical Engineering,1,,Java,,,,,,,,,,Food Safety Officer
,,,,,8.53,Environmental Engineering,0,,CFA,,,,,,,,,,Robotics Engineer
,,,,,6.5,Data Science (M.Sc),1,,CPA,,,,,,,,,,Statistician
,,,,,7.59,Business Analytics (Advanced),1,,CPA,,,,,,,,,,Product Manager
,,,,,7.65,Civil Engineering,1,,Scrum Master,,,,,,,,,,Structural Engineer
,,,,,8.97,Psychology (M.Sc),2,,PMP,,,,,,,,,,Senior Researcher
,,,,,6.55,Economics,1,,,,,,,,,,,,Policy Analyst
,,,,,7.69,Auditing,1,,AutoCAD,,,,,,,,,,Financial Auditor
,,,,,6.74,Education,2,,AutoCAD,,,,,,,,,,Policy Analyst
S377,24.0,Male,3.5,1300.0,8.25,Law,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,Mid,6.0,No,
,,,,,9.86,Electronics & Communication Engineering,2,,Scrum Master,,,,,,,,,,VLSI Design Engineer
,,,,,6.77,Biotechnology (Masters),2,,Photoshop,,,,,,,,,,VLSI Architect
,,,,,8.49,Electrical & Electronics Engineering,0,,Photoshop,,,,,,,,,,Embedded Systems Engineer
,,,,,7.13,Information Technology,2,,C++,,,,,,,,,,Data Analyst
,,,,,9.68,Textile Design,0,,AutoCAD,,,,,,,,,,UI/UX Designer
,,,,,8.0,Business Analytics (Advanced),1,,C++,,,,,,,,,,Product Manager
,,,,,7.24,Chemical Engineering,0,,CPA,,,,,,,,,,Process Engineer
,,,,,6.23,Electronics (M.Sc),2,,CFA,,,,,,,,,,Statistician
S337,24.0,Male,3.4,1240.0,7.5,Arts,1,3.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.83,Financial Markets,2,,Six Sigma,,,,,,,,,,Chartered Accountant
,,,,,9.4,Interior Design,1,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,6.65,Communication Design,2,,Google Analytics,,,,,,,,,,Fashion Stylist
,,,,,6.93,Petroleum Engineering,2,,,,,,,,,,,,Automotive Design Engineer
,,,,,7.48,Robotics & Automation,2,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,6.31,UI/UX Design,0,,AWS,,,,,,,,,,Interior Architect
,,,,,8.72,Data Science,0,,CPA,,,,,,,,,,Software Developer
,,,,,9.71,Microbiology,0,,Six Sigma,,,,,,,,,,Clinical Research Associate
,,,,,8.65,English,0,,CPA,,,,,,,,,,Content Writer
,,,,,8.29,Travel & Tourism,1,,Google Analytics,,,,,,,,,,Retail Store Manager
,,,,,7.76,Travel & Tourism,0,,Java,,,,,,,,,,Retail Store Manager
,,,,,7.01,Textile Design,1,,CFA,,,,,,,,,,Fashion Stylist
,,,,,8.51,Finance,2,,Scrum Master,,,,,,,,,,Business Analyst
,,,,,9.73,Microbiology (M.Sc),1,,AutoCAD,,,,,,,,,,Senior Researcher
,,,,,9.87,Data Science,2,,,,,,,,,,,,Software Developer
,,,,,6.81,Communication Design,1,,CPA,,,,,,,,,,Fashion Stylist
,,,,,9.36,Environmental Science (M.Sc),1,,CFA,,,,,,,,,,Senior Researcher
,,,,,9.75,Aerospace Engineering,1,,Google Analytics,,,,,,,,,,Robotics Engineer
,,,,,8.07,Agri-Business Management,1,,Google Analytics,,,,,,,,,,Hospital Administrator
,,,,,9.17,Production Engineering,2,,CPA,,,,,,,,,,Project Manager
,,,,,9.38,Chemistry (M.Sc),0,,AWS,,,,,,,,,,Senior Researcher
,,,,,6.48,Data Science (Masters),0,,Scrum Master,,,,,,,,,,Robotics System Architect
,,,,,8.81,Psychology,1,,Photoshop,,,,,,,,,,Clinical Research Associate
,,,,,7.4,Statistics (M.Sc),0,,C++,,,,,,,,,,Clinical Psychologist
,,,,,7.53,Environmental Science,0,,Six Sigma,,,,,,,,,,Microbiologist
,,,,,8.62,Electrical Engineering,0,,React,,,,,,,,,,VLSI Design Engineer
,,,,,8.83,Information Technology (Masters),1,,Six Sigma,,,,,,,,,,R&D Engineer
,,,,,6.27,Biomedical Engineering,1,,AWS,,,,,,,,,,Food Safety Officer
,,,,,9.62,Travel & Tourism,1,,PMP,,,,,,,,,,Hotel Manager
,,,,,7.31,Marketing (Advanced),1,,Photoshop,,,,,,,,,,HR Director
,,,,,7.96,Banking & Insurance,1,,React,,,,,,,,,,Retail Store Manager
,,,,,9.73,Mathematics (M.Sc),0,,Java,,,,,,,,,,Senior Researcher
,,,,,9.73,IT Management,0,,Photoshop,,,,,,,,,,Investment Banker
,,,,,9.21,Biotechnology (M.Sc),0,,PMP,,,,,,,,,,Senior Researcher
,,,,,9.35,Biotechnology,2,,CFA,,,,,,,,,,Clinical Research Associate
,,,,,7.09,Marketing,1,,CPA,,,,,,,,,,HR Generalist
,,,,,8.72,Mechatronics Engineering,1,,CPA,,,,,,,,,,Robotics Engineer
,,,,,8.43,Entrepreneurship (Advanced),1,,Six Sigma,,,,,,,,,,Product Manager
,,,,,8.9,Business Analytics (Advanced),2,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,7.93,IT Management,0,,CPA,,,,,,,,,,Product Manager
,,,,,7.14,Psychology (M.Sc),0,,Python,,,,,,,,,,Clinical Psychologist
,,,,,6.07,International Business (Advanced),0,,AWS,,,,,,,,,,Business Development Manager
,,,,,6.59,Agri-Business Management,2,,AutoCAD,,,,,,,,,,Portfolio Manager
,,,,,9.84,Product Design,2,,AWS,,,,,,,,,,UI/UX Designer
,,,,,6.86,Environmental Engineering (Masters),1,,AWS,,,,,,,,,,VLSI Architect
,,,,,8.6,Thermal Engineering,0,,React,,,,,,,,,,R&D Engineer
,,,,,7.88,Graphic Design,0,,PMP,,,,,,,,,,Product Designer
,,,,,6.87,Textile Engineering,0,,AWS,,,,,,,,,,Automotive Design Engineer
,,,,,8.02,Digital Marketing (Advanced),1,,,,,,,,,,,,Product Manager
,,,,,9.09,Mining Engineering,2,,Python,,,,,,,,,,Project Manager
,,,,,8.79,VLSI,0,,Python,,,,,,,,,,R&D Engineer
,,,,,9.48,Forensic Science,0,,Java,,,,,,,,,,Software Developer
,,,,,7.66,Fashion Design,2,,Java,,,,,,,,,,Microbiologist
,,,,,6.22,Physics,1,,Photoshop,,,,,,,,,,Forensic Expert
S145,25.0,Male,3.9,1580.0,9.5,Medicine,4,9.0,5,10.0,9.0,5.0,146000.0,10.0,1.0,Senior,5.0,No,
,,,,,7.08,Operations Management (Advanced),2,,Java,,,,,,,,,,HR Director
,,,,,8.44,Production Engineering,0,,CPA,,,,,,,,,,Structural Engineer
,,,,,7.07,Statistics (M.Sc),2,,Scrum Master,,,,,,,,,,Clinical Psychologist
,,,,,8.47,Agriculture (M.Sc),2,,Java,,,,,,,,,,Data Engineer
,,,,,7.66,Electrical & Electronics Engineering,0,,Java,,,,,,,,,,Embedded Systems Engineer
,,,,,6.28,Robotics,0,,PMP,,,,,,,,,,Robotics System Architect
,,,,,8.06,Information Technology (M.Sc),0,,C++,,,,,,,,,,Data Engineer
,,,,,7.48,Digital Marketing (Advanced),0,,Photoshop,,,,,,,,,,HR Director
,,,,,7.17,Public Administration,2,,React,,,,,,,,,,Art Director
,,,,,8.44,Artificial Intelligence,2,,AWS,,,,,,,,,,Lab Technician
,,,,,9.34,Robotics & Automation,1,,Google Analytics,,,,,,,,,,Robotics Engineer
,,,,,8.57,Fine Arts,2,,Photoshop,,,,,,,,,,Journalist
,,,,,6.48,Computer Science Engineering,0,,React,,,,,,,,,,System Engineer
,,,,,8.91,Statistics,1,,C++,,,,,,,,,,Software Developer
,,,,,8.74,Business Analytics,1,,CFA,,,,,,,,,,Business Analyst
,,,,,6.71,Performing Arts,0,,Python,,,,,,,,,,Art Director
,,,,,6.41,Operations Management (Advanced),2,,Six Sigma,,,,,,,,,,Business Development Manager
,,,,,9.77,Game Design,2,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,9.51,Forensic Science (M.Sc),0,,CFA,,,,,,,,,,Senior Researcher
,,,,,7.49,Civil Engineering,2,,AWS,,,,,,,,,,Process Engineer
,,,,,8.64,Environmental Science (M.Sc),1,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,8.61,International Business (Advanced),1,,Python,,,,,,,,,,Investment Banker
S020,25.0,Female,3.5,1300.0,8.0,Education,2,5.0,2,7.0,6.0,2.0,52000.0,7.0,4.0,Entry,8.0,No,
,,,,,7.91,UI/UX Design,1,,React,,,,,,,,,,Product Designer
,,,,,7.29,Finance,0,,Google Analytics,,,,,,,,,,HR Generalist
,,,,,7.78,Agri-Business Management,2,,Google Analytics,,,,,,,,,,Hospital Administrator
,,,,,8.8,Robotics & Automation,0,,Java,,,,,,,,,,Robotics Engineer
,,,,,8.22,Microbiology,1,,CFA,,,,,,,,,,Microbiologist
,,,,,6.61,Cybersecurity,0,,Java,,,,,,,,,,Full Stack Developer
,,,,,9.28,Entrepreneurship,2,,,,,,,,,,,,Business Analyst
,,,,,6.62,Accounting & Finance,2,,AutoCAD,,,,,,,,,,Tax Consultant
,,,,,7.27,Auditing,1,,PMP,,,,,,,,,,Tax Consultant
,,,,,8.11,Forensic Science,0,,Google Analytics,,,,,,,,,,Lab Technician
,,,,,6.96,Computer Science Engineering (Masters),2,,Photoshop,,,,,,,,,,VLSI Architect
,,,,,9.9,Environmental Science,1,,Python,,,,,,,,,,Clinical Research Associate
,,,,,7.74,Instrumentation Engineering,2,,AutoCAD,,,,,,,,,,Embedded Systems Engineer
,,,,,9.03,Mechatronics Engineering,1,,Photoshop,,,,,,,,,,Robotics Engineer
,,,,,8.83,Mechanical Design,1,,Python,,,,,,,,,,R&D Engineer
,,,,,9.17,Mechatronics Engineering,0,,Java,,,,,,,,,,Robotics Engineer
,,,,,9.63,Business Analytics,2,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,7.5,Artificial Intelligence,1,,CPA,,,,,,,,,,Data Analyst
,,,,,8.18,Data Science (Masters),2,,Python,,,,,,,,,,Senior Data Scientist
,,,,,9.23,Education,0,,CFA,,,,,,,,,,Content Writer
,,,,,9.36,Petroleum Engineering,0,,CPA,,,,,,,,,,Robotics Engineer
,,,,,6.0,Public Administration,0,,Python,,,,,,,,,,Media Planner
,,,,,6.26,Cybersecurity,0,,Python,,,,,,,,,,System Engineer
,,,,,7.72,Aerospace Engineering,0,,Java,,,,,,,,,,Biomedical Engineer
,,,,,7.81,Marketing (Advanced),2,,AutoCAD,,,,,,,,,,Product Manager
,,,,,6.18,Robotics,2,,CFA,,,,,,,,,,Robotics System Architect
,,,,,8.95,Chemistry (M.Sc),1,,AutoCAD,,,,,,,,,,Senior Researcher
,,,,,7.05,Computer Science Engineering (Masters),0,,AWS,,,,,,,,,,VLSI Architect
,,,,,9.13,Healthcare Management,1,,Java,,,,,,,,,,Hotel Manager
,,,,,8.25,Aeronautical Engineering,0,,CPA,,,,,,,,,,Biomedical Engineer
,,,,,9.9,Marketing,1,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,9.32,Food Technology,1,,Google Analytics,,,,,,,,,,Robotics Engineer
,,,,,9.18,Food Technology,2,,CPA,,,,,,,,,,Robotics Engineer
,,,,,9.48,Corporate Secretaryship,0,,AWS,,,,,,,,,,Chartered Accountant
,,,,,7.2,Environmental Engineering,0,,PMP,,,,,,,,,,Automotive Design Engineer
,,,,,8.84,Nutrition & Dietetics,1,,Scrum Master,,,,,,,,,,Clinical Research Associate
,,,,,9.17,Aviation Management (Advanced),1,,AWS,,,,,,,,,,Supply Chain Manager
,,,,,8.32,Taxation,2,,Python,,,,,,,,,,Financial Auditor
,,,,,8.98,Aerospace Engineering,0,,AWS,,,,,,,,,,Robotics Engineer
,,,,,6.87,Agriculture (M.Sc),1,,AWS,,,,,,,,,,Clinical Psychologist
,,,,,8.71,Biomedical Engineering,1,,Java,,,,,,,,,,Robotics Engineer
,,,,,6.68,Mathematics,0,,AWS,,,,,,,,,,Data Analyst
,,,,,6.21,Psychology (M.Sc),2,,AutoCAD,,,,,,,,,,Statistician
,,,,,6.09,Artificial Intelligence,2,,Photoshop,,,,,,,,,,Forensic Expert
S169,21.0,Male,3.6,1340.0,8.5,Marketing,2,5.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
,,,,,7.54,International Business (Advanced),2,,Java,,,,,,,,,,Product Manager
,,,,,9.33,Business Analytics,0,,React,,,,,,,,,,Chartered Accountant
,,,,,7.92,Hindi,0,,CFA,,,,,,,,,,Psychologist
,,,,,9.25,Physics (M.Sc),1,,React,,,,,,,,,,Senior Researcher
,,,,,7.12,Aeronautical Engineering,0,,Photoshop,,,,,,,,,,Automotive Design Engineer
,,,,,7.67,History,1,,CPA,,,,,,,,,,Psychologist
,,,,,7.97,Logistics & Supply Chain,1,,Google Analytics,,,,,,,,,,Marketing Executive
,,,,,7.63,Psychology,0,,Six Sigma,,,,,,,,,,Psychologist
,,,,,6.88,Aviation Management (Advanced),1,,Scrum Master,,,,,,,,,,Portfolio Manager
,,,,,6.28,Information Technology,2,,AutoCAD,,,,,,,,,,Forensic Expert
,,,,,9.56,Logistics & Supply Chain,2,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,9.25,Forensic Science,2,,React,,,,,,,,,,Software Developer
,,,,,7.0,Jewellery Design,2,,PMP,,,,,,,,,,Fashion Stylist
,,,,,8.18,Metallurgical Engineering,1,,CFA,,,,,,,,,,Structural Engineer
,,,,,9.9,Banking & Insurance,1,,AutoCAD,,,,,,,,,,Hotel Manager
S205,25.0,Male,3.8,1500.0,9.25,Business,3,7.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,Mid,6.0,No,
,,,,,7.87,Information Technology,0,,React,,,,,,,,,,Lab Technician
,,,,,8.11,Hospitality Management,1,,AWS,,,,,,,,,,Retail Store Manager
,,,,,7.41,Public Administration,2,,AWS,,,,,,,,,,Art Director
,,,,,6.16,Agri-Business Management,2,,Photoshop,,,,,,,,,,Agri-Business Manager
,,,,,9.6,Data Science,0,,Google Analytics,,,,,,,,,,Software Developer
,,,,,6.47,Interior Design,1,,Photoshop,,,,,,,,,,Interior Architect
,,,,,9.34,Electrical & Electronics Engineering,0,,Scrum Master,,,,,,,,,,VLSI Design Engineer
,,,,,6.06,Civil Engineering,1,,React,,,,,,,,,,Site Supervisor
,,,,,9.06,Agri-Business Management,2,,PMP,,,,,,,,,,Supply Chain Manager
,,,,,7.58,Fashion Design,0,,Photoshop,,,,,,,,,,Microbiologist
,,,,,8.82,Fine Arts,1,,Six Sigma,,,,,,,,,,Journalist
,,,,,8.49,Psychology,2,,,,,,,,,,,,Psychologist
,,,,,7.1,Aerospace Engineering,1,,CPA,,,,,,,,,,Automotive Design Engineer
,,,,,7.26,Manufacturing Engineering,1,,AutoCAD,,,,,,,,,,VLSI Architect
,,,,,7.66,Information Technology (Masters),2,,Photoshop,,,,,,,,,,Senior Data Scientist
,,,,,7.45,Electronics,0,,Python,,,,,,,,,,Data Analyst
,,,,,7.02,Environmental Engineering,2,,Six Sigma,,,,,,,,,,Automotive Design Engineer
,,,,,8.76,Transportation Engineering,1,,Python,,,,,,,,,,R&D Engineer
,,,,,7.28,VLSI,1,,React,,,,,,,,,,VLSI Architect
,,,,,7.88,Sociology,2,,Google Analytics,,,,,,,,,,Psychologist
,,,,,6.65,Psychology (M.Sc),2,,Photoshop,,,,,,,,,,Clinical Psychologist
,,,,,9.06,Hospitality Management,2,,Google Analytics,,,,,,,,,,Hotel Manager
S194,21.0,Female,3.7,1440.0,8.75,Marketing,3,7.0,3,8.0,7.0,3.0,72000.0,8.0,3.0,Mid,7.0,No,
,,,,,7.68,Hospitality Management,2,,Java,,,,,,,,,,Retail Store Manager
,,,,,9.21,Animation & Multimedia,2,,,,,,,,,,,,UI/UX Designer
,,,,,9.35,Agriculture (M.Sc),1,,Scrum Master,,,,,,,,,,Senior Researcher
,,,,,9.85,Animation & Multimedia,2,,CFA,,,,,,,,,,UI/UX Designer
,,,,,6.7,Retail Management (Advanced),2,,CFA,,,,,,,,,,Portfolio Manager
,,,,,8.72,Retail Management,1,,CFA,,,,,,,,,,Hotel Manager
,,,,,9.26,Data Science,0,,CPA,,,,,,,,,,AI Engineer
,,,,,9.52,Electronics & Communication Engineering,0,,Scrum Master,,,,,,,,,,VLSI Design Engineer
,,,,,9.98,Mechanical Engineering ,2,,PMP,,,,,,,,,,Project Manager
,,,,,7.7,Textile Design,1,,Six Sigma,,,,,,,,,,Product Designer
,,,,,9.56,Statistics,2,,React,,,,,,,,,,Software Developer
,,,,,8.45,Healthcare Management,2,,Python,,,,,,,,,,Retail Store Manager
,,,,,6.68,Aviation Management,1,,React,,,,,,,,,,Aviation Operations Manager
,,,,,8.16,Aerospace Engineering,0,,CPA,,,,,,,,,,Biomedical Engineer
,,,,,8.48,Microbiology (M.Sc),0,,Six Sigma,,,,,,,,,,Data Engineer
,,,,,9.79,Psychology,1,,,,,,,,,,,,Clinical Research Associate
,,,,,6.69,Food Science & Nutrition,2,,Python,,,,,,,,,,Clinical Psychologist
,,,,,9.75,Banking & Insurance,0,,,,,,,,,,,,Chartered Accountant
,,,,,9.04,Food Technology,1,,C++,,,,,,,,,,Robotics Engineer
,,,,,9.73,Chemical Engineering,1,,Photoshop,,,,,,,,,,Project Manager
,,,,,8.13,Operations Management (Advanced),2,,Scrum Master,,,,,,,,,,Product Manager
,,,,,9.84,International Business,2,,CFA,,,,,,,,,,Chartered Accountant
S356,22.0,Female,3.7,1420.0,8.75,Business,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,Mid,7.0,No,
,,,,,7.37,Psychology,1,,CFA,,,,,,,,,,Dietician
,,,,,6.38,Data Science (Masters),2,,React,,,,,,,,,,Robotics System Architect
,,,,,8.57,Philosophy,2,,Google Analytics,,,,,,,,,,Content Writer
,,,,,7.08,Robotics & Automation,2,,Photoshop,,,,,,,,,,Automotive Design Engineer
,,,,,6.71,Textile Engineering,2,,Photoshop,,,,,,,,,,Automotive Design Engineer
,,,,,9.38,Cybersecurity (Masters),1,,C++,,,,,,,,,,R&D Engineer
,,,,,8.13,Psychology,0,,CFA,,,,,,,,,,Psychologist
S344,21.0,Female,3.7,1480.0,8.75,Psychology,3,7.0,3,9.0,8.0,3.0,94000.0,8.0,2.0,Mid,6.0,No,
,,,,,9.6,UI/UX Design,2,,Java,,,,,,,,,,UI/UX Designer
S296,22.0,Female,3.6,1380.0,8.5,Business,2,6.0,2,8.0,7.0,2.0,84000.0,8.0,3.0,Mid,7.0,No,
,,,,,6.25,Aeronautical Engineering,0,,CFA,,,,,,,,,,Food Safety Officer
,,,,,9.61,Nutrition & Dietetics,2,,CFA,,,,,,,,,,Clinical Research Associate
,,,,,7.26,Information Technology (Masters),0,,Java,,,,,,,,,,VLSI Architect
,,,,,9.39,Financial Markets,2,,Java,,,,,,,,,,Chartered Accountant
,,,,,6.45,Robotics & Automation,0,,Google Analytics,,,,,,,,,,Food Safety Officer
,,,,,9.19,International Business,0,,React,,,,,,,,,,Business Analyst
,,,,,8.47,Operations Management (Advanced),1,,React,,,,,,,,,,Product Manager
,,,,,7.94,Machine Learning,2,,Six Sigma,,,,,,,,,,Senior Data Scientist
,,,,,7.64,Hindi,1,,Six Sigma,,,,,,,,,,Psychologist
,,,,,7.28,Product Design,1,,AutoCAD,,,,,,,,,,Fashion Stylist
,,,,,8.89,Mining Engineering,1,,Scrum Master,,,,,,,,,,Project Manager
S047,24.0,Male,3.3,1210.0,7.5,Psychology,1,3.0,1,6.0,5.0,1.0,44000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.82,Human Resource Management,0,,C++,,,,,,,,,,Business Analyst
,,,,,8.73,Biomedical Engineering,0,,AWS,,,,,,,,,,Robotics Engineer
S269,21.0,Male,3.9,1560.0,9.75,Computer Science,4,9.0,5,10.0,9.0,5.0,144000.0,10.0,1.0,Senior,5.0,No,
,,,,,9.21,Mechanical Design,2,,React,,,,,,,,,,R&D Engineer
,,,,,9.78,Manufacturing Engineering,0,,Photoshop,,,,,,,,,,R&D Engineer
,,,,,7.66,Biotechnology (Masters),0,,CFA,,,,,,,,,,Senior Data Scientist
,,,,,8.53,Data Science (Masters),2,,,,,,,,,,,,R&D Engineer
,,,,,7.17,Healthcare Management (Advanced),2,,Python,,,,,,,,,,Portfolio Manager
,,,,,6.29,Corporate Secretaryship,0,,Six Sigma,,,,,,,,,,Bank Officer
,,,,,8.86,Marketing,2,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,7.79,Mathematics,0,,AutoCAD,,,,,,,,,,Lab Technician
,,,,,7.18,Production Engineering,2,,PMP,,,,,,,,,,Process Engineer
,,,,,7.24,Entrepreneurship,2,,React,,,,,,,,,,HR Generalist
,,,,,6.67,Hospitality Management,2,,,,,,,,,,,,Aviation Operations Manager
,,,,,9.87,Manufacturing Engineering,0,,PMP,,,,,,,,,,R&D Engineer
,,,,,7.37,Agriculture,0,,C++,,,,,,,,,,Dietician
,,,,,6.08,Information Technology (Masters),0,,PMP,,,,,,,,,,Robotics System Architect
,,,,,6.96,Psychology,1,,C++,,,,,,,,,,Policy Analyst
,,,,,8.59,Fashion Design,0,,Java,,,,,,,,,,UI/UX Designer
S059,21.0,Male,3.7,1460.0,9.0,Engineering,3,7.0,3,9.0,8.0,3.0,98000.0,8.0,2.0,Mid,6.0,No,
,,,,,9.78,Mathematics,1,,Six Sigma,,,,,,,,,,Software Developer
,,,,,7.17,Electronics,2,,React,,,,,,,,,,Data Analyst
,,,,,9.51,Mining Engineering,0,,C++,,,,,,,,,,Project Manager
,,,,,9.76,Agri-Business Management,0,,CPA,,,,,,,,,,Supply Chain Manager
,,,,,7.1,Transportation Engineering,0,,Photoshop,,,,,,,,,,VLSI Architect
,,,,,7.92,IT Management,0,,,,,,,,,,,,Product Manager
,,,,,6.64,Information Technology,0,,AutoCAD,,,,,,,,,,Data Analyst
,,,,,7.14,Taxation,0,,C++,,,,,,,,,,Tax Consultant
,,,,,9.79,Robotics,0,,React,,,,,,,,,,R&D Engineer
,,,,,9.68,Entrepreneurship,2,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,8.9,Biotechnology (M.Sc),1,,Six Sigma,,,,,,,,,,Senior Researcher
,,,,,6.52,Sanskrit,0,,Scrum Master,,,,,,,,,,Policy Analyst
,,,,,6.46,Entrepreneurship (Advanced),2,,,,,,,,,,,,Business Development Manager
,,,,,7.48,Aerospace Engineering,2,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,8.71,Retail Management (Advanced),0,,Scrum Master,,,,,,,,,,Supply Chain Manager
,,,,,6.88,Fashion Design,0,,,,,,,,,,,,Fashion Stylist
,,,,,6.44,Metallurgical Engineering,2,,AWS,,,,,,,,,,Site Supervisor
,,,,,8.77,Public Administration,2,,AWS,,,,,,,,,,Journalist
S187,24.0,Male,3.4,1280.0,7.75,Arts,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.02,Retail Management,0,,Google Analytics,,,,,,,,,,Retail Store Manager
,,,,,7.49,Computer Science,1,,PMP,,,,,,,,,,Data Analyst
,,,,,6.59,Computer Science (M.Sc),0,,Scrum Master,,,,,,,,,,Clinical Psychologist
,,,,,9.56,Environmental Engineering (Masters),0,,Photoshop,,,,,,,,,,R&D Engineer
,,,,,6.04,UI/UX Design,2,,AutoCAD,,,,,,,,,,Interior Architect
,,,,,6.41,Computer Science,0,,Python,,,,,,,,,,Forensic Expert
,,,,,6.67,Operations Management (Advanced),1,,CFA,,,,,,,,,,HR Director
